emd_code,행정구역
3101154,파장동
3101155,율천동
3101156,정자1동
3101157,정자2동
3101158,영화동
3101159,송죽동
3101160,조원1동
3101161,연무동
3101162,정자3동
3101163,조원2동
3101252,세류1동
3101253,세류2동
3101254,세류3동
3101255,평동
3101256,서둔동
3101257,구운동
3101260,권선1동
3101261,곡선동
3101262,입북동
3101265,금곡동
3101266,호매실동
3101264,권선2동
3101353,지동
3101354,우만1동
3101355,우만2동
3101356,인계동
3101367,매교동
3101368,매산동
3101369,고등동
3101370,화서1동
3101371,화서2동
3101372,행궁동
3101451,매탄1동
3101452,매탄2동
3101453,매탄3동
3101454,매탄4동
3101464,영통1동
3101465,영통2동
3101460,원천동
3101462,광교1동
3101463,광교2동
3101466,영통3동
3101467,망포1동
3101468,망포2동
3102151,신흥1동
3102152,신흥2동
3102153,신흥3동
3102154,태평1동
3102155,태평2동
3102156,태평3동
3102157,태평4동
3102158,수진1동
3102159,수진2동
3102160,단대동
3102161,산성동
3102162,양지동
3102167,복정동
3102168,위례동
3102164,신촌동
3102165,고등동
3102166,시흥동
3102251,성남동
3102253,금광1동
3102254,금광2동
3102255,은행1동
3102256,은행2동
3102257,상대원1동
3102258,상대원2동
3102259,상대원3동
3102260,하대원동
3102261,도촌동
3102262,중앙동
3102351,분당동
3102352,수내3동
3102353,수내1동
3102354,수내2동
3102355,정자2동
3102356,정자3동
3102358,서현1동
3102359,서현2동
3102360,이매1동
3102361,이매2동
3102362,야탑1동
3102363,야탑3동
3102364,야탑2동
3102367,구미동
3102368,운중동
3102371,금곡동
3102372,구미1동
3102374,삼평동
3102375,판교동
3102376,백현동
3102377,정자1동
3102378,정자동
3103069,의정부1동
3103052,의정부2동
3103055,호원1동
3103056,장암동
3103057,신곡1동
3103058,신곡2동
3103059,송산1동
3103060,자금동
3103068,가능동
3103067,흥선동
3103064,녹양동
3103065,호원2동
3103070,송산2동
3103071,송산3동
3104151,안양1동
3104152,안양2동
3104153,안양3동
3104154,안양4동
3104155,안양5동
3104156,안양6동
3104157,안양7동
3104158,안양8동
3104159,안양9동
3104160,석수1동
3104161,석수2동
3104162,석수3동
3104163,박달1동
3104164,박달2동
3104251,비산1동
3104252,비산2동
3104253,비산3동
3104254,부흥동
3104255,달안동
3104256,관양1동
3104257,관양2동
3104258,부림동
3104259,평촌동
3104260,평안동
3104261,귀인동
3104262,호계1동
3104263,호계2동
3104264,호계3동
3104265,범계동
3104266,신촌동
3104267,갈산동
3105087,심곡동
3105088,부천동
3105089,중동
3105090,신중동
3105091,상동
3105092,대산동
3105093,소사본동
3105094,범안동
3105095,성곡동
3105096,오정동
3106051,광명1동
